House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion,Address,Is Retired,Is Unemployed,Is Student,Major Religions
1,Simmons Meadow,Andrea,Bradley,43,Head,Married,F,Prison officer,None,None,"1, Simmons Meadow",0,0,0,Unknown
1,Simmons Meadow,Peter,Bradley,44,Husband,Married,M,Futures trader,None,None,"1, Simmons Meadow",0,0,0,Unknown
1,Simmons Meadow,Lauren,Bradley,5,Daughter,Ineligible,F,Student,None,,"1, Simmons Meadow",0,0,1,Ineligible
1,Simmons Meadow,Henry,Bradley,5,Son,Ineligible,M,Student,None,,"1, Simmons Meadow",0,0,1,Ineligible
1,Simmons Meadow,Edward,Slater,25,Lodger,Divorced,M,Further education lecturer,None,None,"1, Simmons Meadow",0,0,0,Unknown
2,Simmons Meadow,Melanie,O'Brien,24,Head,Divorced,F,"Production assistant, television",None,None,"2, Simmons Meadow",0,0,0,Unknown
2,Simmons Meadow,Lucy,O'Brien,3,Daughter,Ineligible,F,Child,None,,"2, Simmons Meadow",0,0,0,Ineligible
3,Simmons Meadow,Tina,Palmer,105,Head,Widowed,F,Retired Risk analyst,None,Christian,"3, Simmons Meadow",1,0,0,Christian
4,Simmons Meadow,Jeremy,Sutton,73,Head,Widowed,M,Retired Orthoptist,None,Christian,"4, Simmons Meadow",1,0,0,Christian
4,Simmons Meadow,Suzanne,Sutton,19,Granddaughter,Single,F,University Student,None,Christian,"4, Simmons Meadow",0,0,1,Christian
4,Simmons Meadow,Pamela,Sutton,10,Granddaughter,Ineligible,F,Student,None,,"4, Simmons Meadow",0,0,1,Ineligible
4,Simmons Meadow,Justin,Sutton,10,Grandson,Ineligible,M,Student,None,,"4, Simmons Meadow",0,0,1,Ineligible
4,Simmons Meadow,Benjamin,Sutton,10,Grandson,Ineligible,M,Student,None,,"4, Simmons Meadow",0,0,1,Ineligible
5,Simmons Meadow,Julian,Marshall,57,Head,Divorced,M,Barrister's clerk,None,Christian,"5, Simmons Meadow",0,0,0,Christian
6,Simmons Meadow,Beverley,Jones,30,Head,Divorced,F,"Nurse, adult",None,None,"6, Simmons Meadow",0,0,0,Unknown
6,Simmons Meadow,Bethan,Jones,2,Daughter,Ineligible,F,Child,None,,"6, Simmons Meadow",0,0,0,Ineligible
7,Simmons Meadow,Marcus,Hanson,88,Head,Married,M,Retired Arts administrator,None,Christian,"7, Simmons Meadow",1,0,0,Christian
7,Simmons Meadow,Cheryl,Hanson,85,Wife,Married,F,Retired Magazine features editor,None,None,"7, Simmons Meadow",1,0,0,Unknown
8,Simmons Meadow,Bernard,Smith,73,Head,Widowed,M,Retired Customer service manager,None,None,"8, Simmons Meadow",1,0,0,Unknown
9,Simmons Meadow,Scott,Nelson,52,Head,Single,M,"Pharmacist, community",None,None,"9, Simmons Meadow",0,0,0,Unknown
9,Simmons Meadow,Bruce,Burns,56,None,Single,M,"Scientist, water quality",None,Christian,"9, Simmons Meadow",0,0,0,Christian
10,Simmons Meadow,Danielle,Price,28,Head,Single,F,Unemployed,None,Christian,"10, Simmons Meadow",0,1,0,Christian
10,Simmons Meadow,Bryan,Price,2,Son,Ineligible,M,Child,None,,"10, Simmons Meadow",0,0,0,Ineligible
10,Simmons Meadow,Glenn,Doherty,25,Lodger,Divorced,M,Consulting civil engineer,None,None,"10, Simmons Meadow",0,0,0,Unknown
11,Simmons Meadow,Melissa,Hargreaves,47,Head,Single,F,Actuary,None,None,"11, Simmons Meadow",0,0,0,Unknown
11,Simmons Meadow,Charlie,James,47,Partner,Single,M,Housing manager/officer,None,None,"11, Simmons Meadow",0,0,0,Unknown
1,Morgan Avenue,Graeme,Webb,20,Head,Single,M,University Student,None,Catholic,"1, Morgan Avenue",0,0,1,Christian
1,Morgan Avenue,Bethany,Johnson,19,Partner,Single,F,Counsellor,None,Catholic,"1, Morgan Avenue",0,0,0,Christian
2,Morgan Avenue,Frank,Davies,75,Head,Widowed,M,Retired Air traffic controller,None,Christian,"2, Morgan Avenue",1,0,0,Christian
3,Morgan Avenue,Denise,Sharp,59,Head,Married,F,Television/film/video producer,None,Christian,"3, Morgan Avenue",0,0,0,Christian
3,Morgan Avenue,Jason,Sharp,57,Husband,Married,M,Air traffic controller,None,Christian,"3, Morgan Avenue",0,0,0,Christian
4,Morgan Avenue,Kate,Green,42,Head,Single,F,Insurance account manager,None,None,"4, Morgan Avenue",0,0,0,Unknown
5,Morgan Avenue,Simon,Barnes,75,Head,Widowed,M,Retired Ophthalmologist,None,Catholic,"5, Morgan Avenue",1,0,0,Christian
6,Morgan Avenue,Jay,Martin,61,Head,Single,M,Immunologist,None,Christian,"6, Morgan Avenue",0,0,0,Christian
